"date","close","volume","open","high","low"
"2017/03/03","137.1700","11154380.0000","136.6300","137.3300","136.0800"
"2017/03/02","136.7600","12278560.0000","137.0900","137.8200","136.3100"
"2017/03/01","137.4200","16241330.0000","136.4700","137.4800","136.3000"
"2017/02/28","135.5400","16096310.0000","136.7900","136.8050","134.7500"
"2017/02/27","136.4100","14300970.0000","135.2600","137.1846","135.0200"
"2017/02/24","135.4400","12617180.0000","134.1600","135.6200","134.1600"
"2017/02/23","135.3600","18408460.0000","135.8900","136.1200","134.3300"
"2017/02/22","136.1200","27331930.0000","133.6000","136.7900","133.4600"
"2017/02/21","133.7200","14735860.0000","133.5000","133.9100","132.9000"
"2017/02/17","133.5300","12265480.0000","133.5000","134.0912","133.1700"
"2017/02/16","133.8400","12816260.0000","133.0700","133.8700","133.0220"
"2017/02/15","133.4400","13215470.0000","133.4500","133.7000","132.6600"
"2017/02/14","133.8500","14346090.0000","134.1000","134.2300","132.5500"
"2017/02/13","134.0500","13511640.0000","134.6975","134.6975","133.7000"
"2017/02/10","134.1900","15050270.0000","134.1000","134.9400","133.6800"
"2017/02/09","134.1400","16454060.0000","134.4900","134.5000","133.3100"
"2017/02/08","134.2000","22370760.0000","132.6000","134.4400","132.4400"
"2017/02/07","131.8400","14585030.0000","132.2400","133.0000","131.6610"
"2017/02/06","132.0600","17015610.0000","130.9800","132.0600","130.3000"
"2017/02/03","130.9800","24776070.0000","131.2400","132.8500","130.7600"
"2017/02/02","130.8400","54281800.0000","133.2200","135.4900","130.4000"
"2017/02/01","133.2300","47329480.0000","132.2500","133.4900","130.6800"
"2017/01/31","130.3200","19642550.0000","130.1700","130.6600","129.5157"
"2017/01/30","130.9800","18919750.0000","131.5800","131.5800","129.6000"
"2017/01/27","132.1800","19505970.0000","132.6800","132.9500","131.0800"
"2017/01/26","132.7800","19964800.0000","131.6300","133.1400","131.4401"
"2017/01/25","131.4800","18745640.0000","130.0000","131.7400","129.7700"
"2017/01/24","129.3700","15140910.0000","129.3800","129.9000","128.3800"
"2017/01/23","128.9300","16566300.0000","127.3100","129.2500","126.9500"
"2017/01/20","127.0400","19068380.0000","128.1000","128.4800","126.7800"
"2017/01/19","127.5500","12171270.0000","128.2300","128.3500","127.4500"
"2017/01/18","127.9200","13107440.0000","128.4100","128.4300","126.8400"
"2017/01/17","127.8700","15279990.0000","128.0400","128.3400","127.4000"
"2017/01/13","128.3400","24857410.0000","127.4900","129.2700","127.3700"
"2017/01/12","126.6200","18596580.0000","125.6100","126.7300","124.8000"
"2017/01/11","126.0900","18334560.0000","124.3500","126.1200","124.0600"
"2017/01/10","124.3500","17299590.0000","124.8200","125.5000","124.2800"
"2017/01/09","124.9000","22874170.0000","123.5500","125.4300","123.0400"
"2017/01/06","123.4100","28525570.0000","120.9800","123.8800","120.0300"
"2017/01/05","120.6700","19459380.0000","118.8600","120.9500","118.3209"
"2017/01/04","118.6900","19594560.0000","117.5500","119.6600","117.2900"
"2017/01/03","116.8600","20635600.0000","116.0300","117.8400","115.5100"
"2016/12/30","115.0500","18668290.0000","116.5950","116.8300","114.7739"
"2016/12/29","116.3500","9925082.0000","117.0000","117.5310","116.0600"
"2016/12/28","116.9200","11985740.0000","118.1900","118.2500","116.6500"
"2016/12/27","118.0100","12034590.0000","116.9600","118.6800","116.8640"
"2016/12/23","117.2700","10885030.0000","117.0000","117.5600","116.3000"
"2016/12/22","117.4000","16226770.0000","118.8600","118.9900","116.9300"
"2016/12/21","119.0400","10747610.0000","118.9200","119.2000","118.4800"
"2016/12/20","119.0900","13673570.0000","119.5000","119.7700","118.8000"
"2016/12/19","119.2400","15871360.0000","119.8500","120.3600","118.5100"
"2016/12/16","119.8700","25316220.0000","120.9000","121.5000","119.2700"
"2016/12/15","120.5700","20113550.0000","120.0800","122.5000","119.6300"
"2016/12/14","120.2100","25890630.0000","120.0000","121.6900","118.8500"
"2016/12/13","120.3100","29568990.0000","117.8600","121.5200","117.6100"
"2016/12/12","117.7700","17782470.0000","119.2200","119.2400","117.6500"
"2016/12/09","119.6800","17452710.0000","119.2200","119.9400","118.9500"
"2016/12/08","118.9100","22427310.0000","117.9800","119.5000","117.6400"
"2016/12/07","117.9500","21891800.0000","117.0000","117.9500","116.5700"
"2016/12/06","117.3100","19089060.0000","117.6900","117.7950","116.3300"
"2016/12/05","117.4300","20123920.0000","115.9500","117.5700","115.0700"
"2016/12/02","115.4000","25050450.0000","115.1100","116.4800","114.3000"
"2016/12/01","115.1000","43231480.0000","118.3800","118.4500","114.0000"
"2016/11/30","118.4200","30135230.0000","120.3200","121.7900","117.9500"
"2016/11/29","120.8700","18871130.0000","120.5700","122.1000","120.4000"
"2016/11/28","120.4100","18081770.0000","120.1200","121.6900","119.8200"
"2016/11/25","120.3800","8658605.0000","121.0100","121.1400","120.0700"
"2016/11/23","120.8400","15646580.0000","121.2300","121.3100","119.9400"
"2016/11/22","121.4700","26006340.0000","122.4000","122.9800","120.9000"
"2016/11/21","121.7700","35359460.0000","118.2000","121.9500","117.8000"
"2016/11/18","117.0200","22768330.0000","118.3900","119.1300","116.8400"
"2016/11/17","117.7900","18570820.0000","116.8100","117.7900","116.0100"
"2016/11/16","116.3400","32358800.0000","114.4800","117.8800","114.2100"
"2016/11/15","117.2000","34629110.0000","116.7300","118.4900","115.8300"
"2016/11/14","115.0800","51315610.0000","119.1256","119.1256","113.5535"
"2016/11/11","119.0200","32814370.0000","119.5300","120.7000","118.1500"
"2016/11/10","120.8000","67808300.0000","123.9300","124.1800","115.2700"
"2016/11/09","123.1800","31883790.0000","121.5000","123.8100","120.5100"
"2016/11/08","124.2200","19391790.0000","122.0300","124.6100","121.5400"
"2016/11/07","122.1500","22957100.0000","122.8300","123.2089","121.3500"
"2016/11/04","120.7500","30468330.0000","119.5900","121.9300","119.2500"
"2016/11/03","120.0000","63660540.0000","122.0000","123.2800","119.5000"
"2016/11/02","127.1700","43895660.0000","130.2300","130.2300","126.2800"
"2016/11/01","129.5000","21974210.0000","131.4100","131.9400","128.6500"
"2016/10/31","130.9900","15649280.0000","132.0100","132.1200","130.8835"
"2016/10/28","131.2900","24500920.0000","130.5000","132.9700","129.9300"
"2016/10/27","129.6900","16628680.0000","131.7400","131.8000","129.2700"
"2016/10/26","131.0400","13066210.0000","131.6400","132.2600","130.9350"
"2016/10/25","132.2900","13307700.0000","133.5000","133.5000","132.2200"
"2016/10/24","133.2800","17420290.0000","132.7200","133.4050","132.1500"
"2016/10/21","132.0700","18983740.0000","129.7800","132.1300","129.7000"
"2016/10/20","130.0000","13148980.0000","130.0700","130.6600","129.5000"
"2016/10/19","130.1100","16723000.0000","128.7400","130.4700","128.6000"
"2016/10/18","128.5700","13487280.0000","128.6800","129.3900","128.0100"
"2016/10/17","127.5400","11317650.0000","128.2000","128.4700","127.3200"
"2016/10/14","127.8800","13335970.0000","128.4900","128.9500","127.5800"
"2016/10/13","127.8200","17106910.0000","128.2100","128.2500","126.7500"
"2016/10/12","129.0500","11043240.0000","129.0100","129.6600","128.4600"
"2016/10/11","128.8800","17508530.0000","130.2300","130.6400","128.2300"
"2016/10/10","130.2400","15113560.0000","129.6800","130.7000","129.2000"
"2016/10/07","128.9900","12800360.0000","129.0400","129.2500","128.3300"
"2016/10/06","128.7400","11673340.0000","128.4300","129.0600","128.0800"
"2016/10/05","128.4700","12354920.0000","128.2500","128.8000","127.8300"
"2016/10/04","128.1900","14294610.0000","129.1700","129.2765","127.5499"
"2016/10/03","128.7700","13134510.0000","128.3800","129.0900","127.8000"
"2016/09/30","128.2700","18392040.0000","128.0300","128.5900","127.4500"
"2016/09/29","128.0900","14489880.0000","129.1800","129.2900","127.5500"
"2016/09/28","129.2300","12035720.0000","129.2100","129.4700","128.4000"
"2016/09/27","128.6900","15600130.0000","127.6100","129.0100","127.4300"
"2016/09/26","127.3100","15041370.0000","127.3700","128.1600","126.8000"
"2016/09/23","127.9600","28293920.0000","127.5600","128.6000","127.3000"
"2016/09/22","130.0800","15358850.0000","130.5000","130.7300","129.5600"
"2016/09/21","129.9400","14045780.0000","129.1300","130.0050","128.3900"
"2016/09/20","128.6400","11076150.0000","128.6500","129.1700","128.0307"
"2016/09/19","128.6500","14927990.0000","129.9100","129.9400","128.2600"
"2016/09/16","129.0700","24083560.0000","128.2000","129.1800","128.2000"
"2016/09/15","128.3500","15084660.0000","127.9800","129.1000","127.6700"
"2016/09/14","127.7700","15712050.0000","126.8900","128.8000","126.8900"
"2016/09/13","127.2100","17987510.0000","128.0300","128.3500","126.6600"
"2016/09/12","128.6900","21159830.0000","125.9600","128.7600","125.7500"
"2016/09/09","127.1000","26963940.0000","129.7100","129.9490","127.1000"
"2016/09/08","130.2700","15655250.0000","130.9200","131.0800","129.8100"
"2016/09/07","131.0500","27942000.0000","130.0400","131.9800","129.9500"
"2016/09/06","129.7300","26241480.0000","126.6700","129.9400","126.4700"
"2016/09/02","126.5100","12074470.0000","126.8500","126.8600","126.0000"
"2016/09/01","126.1700","13522260.0000","126.3800","126.6300","125.6000"
"2016/08/31","126.1200","14183190.0000","125.6000","126.2200","125.1000"
"2016/08/30","125.8400","17778300.0000","126.6000","126.6000","125.1500"
"2016/08/29","126.5400","15901270.0000","124.3500","126.7300","124.3500"
"2016/08/26","124.9600","17467840.0000","124.0500","125.1900","123.9100"
"2016/08/25","123.8900","10720680.0000","123.1200","124.3700","123.1000"
"2016/08/24","123.4800","12226720.0000","124.4700","124.6900","123.0900"
"2016/08/23","124.3700","13302050.0000","124.5100","125.0900","124.2500"
"2016/08/22","124.1500","14377070.0000","123.3300","124.8300","123.1100"
"2016/08/19","123.5600","11582430.0000","123.6000","124.1570","123.2800"
"2016/08/18","123.9100","12378280.0000","124.0100","124.2600","123.6400"
"2016/08/17","124.3700","13759700.0000","123.6600","124.3800","122.8500"
"2016/08/16","123.3000","14209580.0000","123.5000","123.9200","122.7800"
"2016/08/15","123.9000","19280400.0000","124.9100","124.9200","123.7000"
"2016/08/12","124.8800","12146150.0000","124.7000","125.0000","124.1800"
"2016/08/11","124.9000","11708610.0000","125.2000","125.3800","124.7500"
"2016/08/10","124.8800","10645370.0000","125.0700","125.4800","124.5400"
"2016/08/09","125.0600","19587330.0000","125.3400","126.0900","124.5300"
"2016/08/08","125.2600","15216950.0000","125.2500","125.4500","124.5500"
"2016/08/05","125.1500","20144810.0000","124.9800","125.8350","124.6184"
"2016/08/04","124.3600","21052200.0000","122.9400","124.7900","122.5100"
"2016/08/03","122.5100","18479970.0000","123.0900","123.9200","122.3100"
"2016/08/02","123.0900","23919790.0000","124.0600","124.8000","122.0700"
"2016/08/01","124.3100","24986020.0000","123.8500","124.5800","122.8600"
"2016/07/29","123.9400","34943890.0000","124.6500","125.8400","123.7100"
"2016/07/28","125.0000","78673980.0000","127.5200","128.3300","123.6300"
"2016/07/27","123.3400","50218420.0000","122.4200","125.0000","121.5100"
"2016/07/26","121.2200","17417060.0000","122.0000","122.0700","120.7500"
"2016/07/25","121.6300","18453230.0000","121.3900","121.8500","117.7800"
"2016/07/22","121.0000","18363590.0000","119.9000","121.0100","119.3100"
"2016/07/21","120.6100","17787630.0000","121.9200","122.1000","120.2500"
"2016/07/20","121.9200","19991920.0000","121.2500","122.2000","120.5600"
"2016/07/19","120.6100","21502910.0000","118.9900","120.8500","118.6600"
"2016/07/18","119.3700","20816900.0000","117.3200","119.6100","116.8900"
"2016/07/15","116.8600","16601530.0000","117.7400","118.2800","116.5800"
"2016/07/14","117.2900","14554060.0000","117.5000","117.6400","116.7000"
"2016/07/13","116.7800","16180680.0000","118.3900","118.4000","116.6800"
"2016/07/12","117.9300","15084590.0000","118.6300","118.7200","117.5700"
"2016/07/11","117.8700","17613670.0000","117.7100","118.7000","117.5000"
"2016/07/08","117.2400","18117330.0000","116.4300","117.5000","115.8500"
"2016/07/07","115.8500","16612350.0000","116.6300","116.9700","115.3600"
"2016/07/06","116.7000","24318520.0000","113.3600","116.7900","112.9700"
"2016/07/05","114.0000","14206220.0000","113.9400","114.1100","112.9700"
"2016/07/01","114.1900","14955080.0000","114.2000","115.1300","113.8100"
"2016/06/30","114.2800","23159510.0000","114.6700","115.1800","113.6700"
"2016/06/29","114.1600","20935530.0000","113.3700","114.2500","113.0400"
"2016/06/28","112.7000","26772900.0000","110.6300","112.7500","110.5500"
"2016/06/27","108.9700","36172810.0000","111.5700","111.5700","108.2300"
"2016/06/24","112.0800","40555840.0000","111.0100","113.6800","111.0000"
"2016/06/23","115.0800","16096460.0000","114.3700","115.0900","113.5400"
"2016/06/22","113.9100","14811570.0000","114.6500","114.7400","113.6100"
"2016/06/21","114.3800","18997270.0000","114.1200","115.2142","113.9700"
"2016/06/20","113.3700","20746500.0000","113.7700","114.7200","112.7500"
"2016/06/17","113.0200","24410770.0000","114.4200","114.4300","112.5600"
"2016/06/16","114.3900","19207560.0000","113.8700","114.5000","112.9400"
"2016/06/15","114.6000","19789270.0000","115.3000","115.4400","114.0700"
"2016/06/14","114.9400","17573960.0000","114.0700","114.9500","113.5800"
"2016/06/13","113.9500","31675970.0000","115.0000","115.4800","113.3100"
"2016/06/10","116.6200","18474380.0000","117.5400","118.1100","116.2600"
"2016/06/09","118.5600","13842230.0000","118.1300","118.6800","117.7100"
"2016/06/08","118.3900","14493990.0000","117.7600","118.6000","117.2700"
"2016/06/07","117.7600","17069990.0000","119.2400","119.3000","117.6700"
"2016/06/06","118.7900","12721610.0000","118.6200","119.4300","118.3600"
"2016/06/03","118.4700","14115480.0000","118.9750","118.9800","117.8600"
"2016/06/02","118.9300","13216260.0000","118.6900","119.4400","118.2200"
"2016/06/01","118.7800","15003570.0000","118.5000","119.0800","117.8200"
"2016/05/31","118.8100","23526050.0000","119.4600","120.1000","118.1210"
"2016/05/27","119.3800","13476050.0000","119.5600","119.8500","119.0100"
"2016/05/26","119.4700","18437640.0000","118.2400","119.7601","117.9200"
"2016/05/25","117.8900","20026150.0000","118.1300","118.6650","117.3800"
"2016/05/24","117.7000","20156400.0000","116.2400","117.7300","116.1200"
"2016/05/23","115.9700","20409860.0000","117.4200","117.6000","115.9400"
"2016/05/20","117.3500","18893950.0000","116.9600","117.9900","116.9500"
"2016/05/19","116.8100","20510770.0000","117.0500","117.4900","115.8800"
"2016/05/18","117.6500","21596120.0000","116.8000","118.2700","116.7300"
"2016/05/17","117.3500","21296660.0000","118.8200","119.0100","117.2000"
"2016/05/16","118.6700","31188070.0000","119.3800","119.6100","117.3500"
"2016/05/13","119.8100","18077540.0000","120.3800","120.6400","119.6800"
"2016/05/12","120.2800","21649010.0000","119.9800","120.8400","118.9000"
"2016/05/11","119.5200","21976560.0000","120.4100","121.0800","119.4200"
"2016/05/10","120.5000","23127390.0000","119.6200","120.5000","119.0000"
"2016/05/09","119.2400","21097310.0000","119.5400","120.2800","118.9000"
"2016/05/06","119.4900","26362480.0000","117.1600","119.6370","117.1127"
"2016/05/05","117.8100","22032830.0000","118.0400","118.9800","117.2500"
"2016/05/04","118.0600","23414270.0000","116.6100","118.3000","116.5700"
"2016/05/03","117.4300","24087870.0000","117.5200","118.1600","117.0200"
"2016/05/02","118.5700","27789510.0000","117.8300","118.7300","116.5700"
"2016/04/29","117.5800","37106010.0000","116.8200","117.8400","115.8400"
"2016/04/28","116.7300","86913390.0000","119.5750","120.7900","116.2300"
