date,close,volume,open,high,low
03/06/17,137.42,12562040.00,136.88,137.83,136.51
03/03/17,137.17,11154380.00,136.63,137.33,136.08
03/02/17,136.76,12278560.00,137.09,137.82,136.31
03/01/17,137.42,16241330.00,136.47,137.48,136.30
02/28/17,135.54,16096310.00,136.79,136.81,134.75
02/27/17,136.41,14300970.00,135.26,137.18,135.02
02/24/17,135.44,12617180.00,134.16,135.62,134.16
02/23/17,135.36,18408460.00,135.89,136.12,134.33
02/22/17,136.12,27331930.00,133.60,136.79,133.46
02/21/17,133.72,14735860.00,133.50,133.91,132.90
02/17/17,133.53,12265480.00,133.50,134.09,133.17
02/16/17,133.84,12816260.00,133.07,133.87,133.02
02/15/17,133.44,13215470.00,133.45,133.70,132.66
02/14/17,133.85,14346090.00,134.10,134.23,132.55
02/13/17,134.05,13511640.00,134.70,134.70,133.70
02/10/17,134.19,15050270.00,134.10,134.94,133.68
02/09/17,134.14,16454060.00,134.49,134.50,133.31
02/08/17,134.20,22370760.00,132.60,134.44,132.44
02/07/17,131.84,14585030.00,132.24,133.00,131.66
02/06/17,132.06,17015610.00,130.98,132.06,130.30
02/03/17,130.98,24776070.00,131.24,132.85,130.76
02/02/17,130.84,54281800.00,133.22,135.49,130.40
02/01/17,133.23,47329480.00,132.25,133.49,130.68
01/31/17,130.32,19642550.00,130.17,130.66,129.52
01/30/17,130.98,18919750.00,131.58,131.58,129.60
01/27/17,132.18,19505970.00,132.68,132.95,131.08
01/26/17,132.78,19964800.00,131.63,133.14,131.44
01/25/17,131.48,18745640.00,130.00,131.74,129.77
01/24/17,129.37,15140910.00,129.38,129.90,128.38
01/23/17,128.93,16566300.00,127.31,129.25,126.95
01/20/17,127.04,19068380.00,128.10,128.48,126.78
01/19/17,127.55,12171270.00,128.23,128.35,127.45
01/18/17,127.92,13107440.00,128.41,128.43,126.84
01/17/17,127.87,15279990.00,128.04,128.34,127.40
01/13/17,128.34,24857410.00,127.49,129.27,127.37
01/12/17,126.62,18596580.00,125.61,126.73,124.80
01/11/17,126.09,18334560.00,124.35,126.12,124.06
01/10/17,124.35,17299590.00,124.82,125.50,124.28
01/09/17,124.90,22874170.00,123.55,125.43,123.04
01/06/17,123.41,28525570.00,120.98,123.88,120.03
01/05/17,120.67,19459380.00,118.86,120.95,118.32
01/04/17,118.69,19594560.00,117.55,119.66,117.29
01/03/17,116.86,20635600.00,116.03,117.84,115.51
12/30/16,115.05,18668290.00,116.60,116.83,114.77
